scores,patient_auroc,auroc_lo,auroc_hi,patient_auprc,auprc_lo,auprc_hi,brier,brier_lo,brier_hi,cal_slope,slope_lo,slope_hi,cal_intercept,int_lo,int_hi,note
raw,0.7792,0.6761,0.8643,0.2264,0.1396,0.4083,0.0933,0.0674,0.1218,0.5504,0.3205,0.8318,-1.0266,-1.7162,-0.3939,
platt,0.7511,0.6588,0.8336,0.1818,0.1125,0.3058,0.087,0.0593,0.1171,0.7258,0.4066,1.179,-0.5849,-1.4879,0.4076,
isotonic,0.7325,0.633,0.8212,0.1708,0.108,0.2662,0.0968,0.0663,0.1277,,,,,,,slope/intercept suppressed: degenerate (eps-dependent) at 20 events
