score_scale,target_spec,threshold,sensitivity,sens_lo,sens_hi,achieved_spec,ppv,n_flagged
raw_locked (PRIMARY),0.8,0.2176,0.6,0.3,0.8333,0.8,0.24,50
raw_locked (PRIMARY),0.9,0.3931,0.25,0.0499,0.5,0.9,0.2083,24
raw_locked (PRIMARY),0.95,0.5006,0.15,0.0,0.3125,0.9474,0.2308,13
pooled_crossfold_platt (secondary; cross-fold pooling artifact),0.8,0.1521,0.55,0.1578,0.8002,0.8,0.2245,49
pooled_crossfold_platt (secondary; cross-fold pooling artifact),0.9,0.2356,0.15,0.0,0.3333,0.9,0.1364,22
pooled_crossfold_platt (secondary; cross-fold pooling artifact),0.95,0.2917,0.05,0.0,0.2309,0.9474,0.0909,11
